216;6461.71;1;0;1;0
217;5118.83;1;0;0;1
218;6277.67;1;1;0;0
219;7361.47;1;1;0;0
220;6133.52;1;0;0;1
221;6456.88;1;0;0;1
222;5993.18;1;0;1;0
223;6536.63;1;0;0;1
224;6010.41;1;1;0;0
225;6437.46;1;1;0;0
226;6128.06;1;0;0;1
227;5863.99;1;0;0;1
228;5758.93;1;0;0;1
229;6479.2;1;1;0;0
230;6897.2;1;0;1;0
231;5714.17;1;1;0;0
232;6357.28;1;0;0;1
233;6300.68;1;0;1;0
234;6121.09;1;0;0;1
235;6240.59;1;0;1;0
236;5684.13;1;0;1;0
237;5586.55;1;0;0;1
238;6636.36;1;0;0;1
239;6362.62;1;0;0;1
240;6225.5;1;0;0;1
241;5480.72;1;1;0;0
242;5744.32;1;0;0;1
243;6520.86;1;0;1;0
244;6516.2;1;0;0;1
245;5893.34;1;0;0;1
246;6323.44;1;0;1;0
247;6191.85;1;1;0;0
248;6412.52;1;0;1;0
249;6052.24;1;0;1;0
250;5999.7;1;0;1;0
251;5893.22;1;0;0;1
252;6878.41;1;0;1;0
253;5875.79;1;1;0;0
254;6462.31;1;0;0;1
255;6465.43;1;1;0;0
256;6488.38;1;1;0;0
257;6347.57;1;1;0;0
258;6169.62;1;0;0;1
259;6004.67;1;1;0;0
260;5767.11;1;0;1;0
261;5181.85;1;0;0;1
262;5679.96;1;0;0;1
263;6404.24;1;0;0;1
264;6514.02;1;1;0;0
265;6332.21;1;0;0;1
266;6245.55;1;0;0;1
267;5578.05;1;1;0;0
268;6401.39;1;1;0;0
269;6098.25;1;1;0;0
270;6083.85;1;0;1;0
271;5956.77;1;1;0;0
272;6208.71;1;0;1;0
273;6728.71;1;1;0;0
274;6342.13;1;0;0;1
275;6881.55;1;0;0;1
276;6082.06;1;0;1;0
277;5627.63;1;0;0;1
278;5158.09;1;0;1;0
279;6673.13;1;0;1;0
280;6038.86;1;0;0;1
281;6638.23;1;0;1;0
282;6260.54;1;1;0;0
283;6180.18;1;1;0;0
284;5728.19;1;0;0;1
285;6577.42;1;1;0;0
286;6294.06;1;1;0;0
287;6242.74;1;0;0;1
288;6454.29;1;0;1;0
289;6263.86;1;0;0;1
290;5647.12;1;0;0;1
291;6151.63;1;1;0;0
292;6212.37;1;0;0;1
293;5853.33;1;1;0;0
294;6071.62;1;0;1;0
295;5975.08;1;0;0;1
296;6724.58;1;1;0;0
297;6078.86;1;0;0;1
298;6632.13;1;0;0;1
299;6108.08;1;1;0;0
300;6183.75;1;0;1;0
301;6600.5;1;0;0;1
302;6378.61;1;1;0;0
303;6417.43;1;0;0;1
304;7182.54;1;1;0;0
305;6413.98;1;0;1;0
306;7098.06;1;0;0;1
307;5854.65;1;0;0;1
308;6511.16;1;0;1;0
309;6592.79;1;0;1;0
310;5657.8;1;0;0;1
311;6098.66;1;1;0;0
312;6098.08;1;0;0;1
313;6448.32;1;0;1;0
314;5925.21;1;1;0;0
315;6382.41;1;1;0;0
316;6688.82;1;0;0;1
317;5708.42;1;0;1;0
318;5723.59;1;0;1;0
319;6300.83;1;0;1;0
320;5384.66;1;1;0;0
321;5955.21;1;0;0;1
322;5644.26;1;0;1;0
323;5868.36;1;0;1;0
324;6095.54;1;0;1;0
325;6226.22;1;0;1;0
326;5650.6;1;1;0;0
327;6289.68;1;0;0;1
328;6512.43;1;0;0;1
329;5994.41;1;1;0;0
330;6094.21;1;0;1;0
331;5758.83;1;0;1;0
332;6039.22;1;0;0;1
333;5829.22;1;1;0;0
334;6696.74;1;0;1;0
335;5996.68;1;1;0;0
336;5833.89;1;0;0;1
337;6071.24;1;0;0;1
338;6539.7;1;0;1;0
339;5979.68;1;0;0;1
340;5416.19;1;0;1;0
341;6126.32;1;0;0;1
342;5224.06;1;0;0;1
343;6204.79;1;1;0;0
344;5864.45;1;0;1;0
345;5696.16;1;1;0;0
346;6044.62;1;0;1;0
347;5886.37;1;0;1;0
348;5695.68;1;0;0;1
349;6063.21;1;1;0;0
350;5830.27;1;0;0;1
351;5942.52;1;1;0;0
352;5226.96;1;0;0;1
353;6321.84;1;0;1;0
354;5813.68;1;0;1;0
355;6075.11;1;0;0;1
356;5657.53;1;0;1;0
357;6465.07;1;0;0;1
358;4981.32;1;1;0;0
359;6087.29;1;0;1;0
360;6027.88;1;1;0;0
361;6033.86;1;0;0;1
362;6258.78;1;0;1;0
363;6450.13;1;0;0;1
364;6291.98;1;0;0;1
365;6200.25;1;0;1;0
366;6487.19;1;0;0;1
367;6316.64;1;1;0;0
368;5905.4;1;0;0;1
369;5916.98;1;1;0;0
370;5828.37;1;0;0;1
371;5696.52;1;1;0;0
372;6136.05;1;0;0;1
373;5170.04;1;1;0;0
374;5747.87;1;0;0;1
375;6330.12;1;1;0;0
376;5460.37;1;0;0;1
377;5476.52;1;1;0;0
378;6310.2;1;1;0;0
379;5634.39;1;1;0;0
380;5975.55;1;1;0;0
381;5696.27;1;1;0;0
382;6545.14;1;0;0;1
383;6155.71;1;0;0;1
384;5892.28;1;1;0;0
385;6017.39;1;1;0;0
386;6217.88;1;1;0;0
387;5443.94;1;0;1;0
388;5807.59;1;0;1;0
389;6313.72;1;0;1;0
390;5867.12;1;0;1;0
391;6194.75;1;1;0;0
392;6056.58;1;0;1;0
393;6528.18;1;0;1;0
394;6036.8;1;1;0;0
395;5502.18;1;0;0;1
396;5242.34;1;0;1;0
397;6564.8;1;0;0;1
398;6100.13;1;0;0;1
399;6218.53;1;0;0;1
